,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson,Total
0,ALABAMA,HUNTSVILLE,2015,190106,723.0,5.0,65.0,173.0,480.0,4121.0,836.0,2903.0,382.0,0.0,9688.0
1,ALASKA,ANCHORAGE,2015,301239,1615.0,16.0,323.0,271.0,1005.0,5732.0,811.0,4516.0,405.0,63.0,14757.0
2,ARIZONA,CHANDLER,2015,258875,206.0,0.0,26.0,51.0,129.0,2524.0,384.0,2033.0,107.0,26.0,5486.0
3,ARIZONA,GILBERT,2015,247324,95.0,2.0,14.0,14.0,65.0,1628.0,253.0,1310.0,65.0,12.0,3458.0
4,ARIZONA,MESA,2015,471034,1019.0,6.0,142.0,219.0,652.0,5995.0,1041.0,4591.0,363.0,40.0,14068.0
5,ARIZONA,PEORIA,2015,170222,145.0,1.0,16.0,25.0,103.0,1677.0,368.0,1207.0,102.0,5.0,3649.0
6,ARIZONA,SCOTTSDALE,2015,233872,189.0,3.0,48.0,53.0,85.0,2580.0,398.0,2091.0,91.0,4.0,5542.0
7,ARIZONA,TEMPE,2015,175556,348.0,2.0,47.0,83.0,216.0,3731.0,531.0,3043.0,157.0,30.0,8188.0
8,ARIZONA,TUCSON,2015,529675,1706.0,16.0,213.0,516.0,961.0,16680.0,1784.0,13919.0,977.0,58.0,36830.0
9,ARKANSAS,LITTLE ROCK,2015,198647,1310.0,14.0,79.0,306.0,911.0,6100.0,1169.0,4556.0,375.0,47.0,14867.0
10,CALIFORNIA,ANAHEIM,2015,349471,628.0,10.0,65.0,211.0,342.0,5018.0,724.0,3472.0,822.0,20.0,11312.0
11,CALIFORNIA,ANTIOCH,2015,110537,387.0,2.0,31.0,135.0,219.0,1931.0,496.0,895.0,540.0,18.0,4654.0
12,CALIFORNIA,BAKERSFIELD,2015,373887,879.0,12.0,38.0,324.0,505.0,7748.0,1885.0,4661.0,1202.0,204.0,17458.0
13,CALIFORNIA,BERKELEY,2015,120387,269.0,0.0,20.0,165.0,84.0,2909.0,587.0,1971.0,351.0,9.0,6365.0
14,CALIFORNIA,BURBANK,2015,105865,69.0,0.0,5.0,25.0,39.0,1282.0,143.0,1047.0,92.0,4.0,2706.0
