,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
0,ALABAMA,HUNTSVILLE,2015.0,190106.0,723.0,5.0,65.0,173.0,480.0,4121.0,836.0,2903.0,382.0,0.0
1,ALABAMA,HUNTSVILLE,2016.0,190106.0,876.0,10.0,80.0,213.0,573.0,4565.0,881.0,3279.0,405.0,0.0
2,ALASKA,ANCHORAGE,2015.0,301239.0,1615.0,16.0,323.0,271.0,1005.0,5732.0,811.0,4516.0,405.0,63.0
3,ALASKA,ANCHORAGE,2016.0,301239.0,1692.0,9.0,302.0,326.0,1055.0,6853.0,1031.0,4901.0,921.0,38.0
4,ARIZONA,CHANDLER,2015.0,258875.0,206.0,0.0,26.0,51.0,129.0,2524.0,384.0,2033.0,107.0,26.0
5,ARIZONA,CHANDLER,2016.0,258875.0,272.0,1.0,61.0,69.0,141.0,2987.0,453.0,2373.0,161.0,8.0
6,ARIZONA,GILBERT,2015.0,247324.0,95.0,2.0,14.0,14.0,65.0,1628.0,253.0,1310.0,65.0,12.0
7,ARIZONA,GILBERT,2016.0,247324.0,108.0,1.0,22.0,14.0,71.0,1694.0,297.0,1330.0,67.0,13.0
8,ARIZONA,MESA,2015.0,471034.0,1019.0,6.0,142.0,219.0,652.0,5995.0,1041.0,4591.0,363.0,40.0
9,ARIZONA,MESA,2016.0,471034.0,1069.0,12.0,146.0,210.0,701.0,5517.0,1010.0,4090.0,417.0,21.0
10,ARIZONA,PEORIA,2015.0,170222.0,145.0,1.0,16.0,25.0,103.0,1677.0,368.0,1207.0,102.0,5.0
11,ARIZONA,PEORIA,2016.0,170222.0,166.0,1.0,14.0,41.0,110.0,1865.0,298.0,1444.0,123.0,2.0
12,ARIZONA,SCOTTSDALE,2015.0,233872.0,189.0,3.0,48.0,53.0,85.0,2580.0,398.0,2091.0,91.0,4.0
13,ARIZONA,SCOTTSDALE,2016.0,233872.0,197.0,2.0,55.0,59.0,81.0,2904.0,356.0,2436.0,112.0,8.0
14,ARIZONA,TEMPE,2015.0,175556.0,348.0,2.0,47.0,83.0,216.0,3731.0,531.0,3043.0,157.0,30.0
15,ARIZONA,TEMPE,2016.0,175556.0,437.0,3.0,73.0,108.0,253.0,4050.0,599.0,3234.0,217.0,20.0
16,ARIZONA,TUCSON,2015.0,529675.0,1706.0,16.0,213.0,516.0,961.0,16680.0,1784.0,13919.0,977.0,58.0
17,ARIZONA,TUCSON,2016.0,529675.0,1988.0,11.0,221.0,537.0,1219.0,15773.0,1850.0,13092.0,831.0,72.0
18,ARKANSAS,LITTLE ROCK,2015.0,198647.0,1310.0,14.0,79.0,306.0,911.0,6100.0,1169.0,4556.0,375.0,47.0
19,ARKANSAS,LITTLE ROCK,2016.0,198647.0,1415.0,16.0,79.0,302.0,1018.0,6476.0,1086.0,4857.0,533.0,27.0
20,CALIFORNIA,ANAHEIM,2015.0,349471.0,628.0,10.0,65.0,211.0,342.0,5018.0,724.0,3472.0,822.0,20.0
21,CALIFORNIA,ANAHEIM,2016.0,349471.0,620.0,4.0,70.0,183.0,363.0,5151.0,759.0,3677.0,715.0,17.0
22,CALIFORNIA,ANTIOCH,2015.0,110537.0,387.0,2.0,31.0,135.0,219.0,1931.0,496.0,895.0,540.0,18.0
23,CALIFORNIA,ANTIOCH,2016.0,110537.0,396.0,7.0,25.0,165.0,199.0,1756.0,367.0,883.0,506.0,27.0
24,CALIFORNIA,BAKERSFIELD,2015.0,373887.0,879.0,12.0,38.0,324.0,505.0,7748.0,1885.0,4661.0,1202.0,204.0
25,CALIFORNIA,BAKERSFIELD,2016.0,373887.0,925.0,22.0,34.0,289.0,580.0,8264.0,1932.0,4898.0,1434.0,0.0
26,CALIFORNIA,BERKELEY,2015.0,120387.0,269.0,0.0,20.0,165.0,84.0,2909.0,587.0,1971.0,351.0,9.0
27,CALIFORNIA,BERKELEY,2016.0,120387.0,262.0,0.0,27.0,151.0,84.0,2637.0,437.0,1888.0,312.0,20.0
28,CALIFORNIA,BURBANK,2015.0,105865.0,69.0,0.0,5.0,25.0,39.0,1282.0,143.0,1047.0,92.0,4.0
29,CALIFORNIA,BURBANK,2016.0,105865.0,104.0,0.0,11.0,23.0,70.0,1358.0,202.0,1038.0,118.0,8.0
30,CALIFORNIA,CARLSBAD,2015.0,113972.0,88.0,0.0,15.0,18.0,55.0,1028.0,188.0,782.0,58.0,5.0
31,CALIFORNIA,CARLSBAD,2016.0,113972.0,89.0,0.0,18.0,25.0,46.0,1137.0,192.0,863.0,82.0,4.0
32,CALIFORNIA,CHULA VISTA,2015.0,265215.0,318.0,2.0,30.0,121.0,165.0,2210.0,305.0,1511.0,394.0,17.0
33,CALIFORNIA,CHULA VISTA,2016.0,265215.0,362.0,0.0,33.0,97.0,232.0,2377.0,374.0,1554.0,449.0,17.0
34,CALIFORNIA,CLOVIS,2015.0,103769.0,114.0,1.0,13.0,27.0,73.0,1591.0,208.0,1271.0,112.0,1.0
35,CALIFORNIA,CLOVIS,2016.0,103769.0,131.0,2.0,18.0,35.0,76.0,1506.0,215.0,1178.0,113.0,3.0
36,CALIFORNIA,CONCORD,2015.0,128767.0,241.0,0.0,15.0,91.0,135.0,2367.0,338.0,1512.0,517.0,4.0
37,CALIFORNIA,CONCORD,2016.0,128767.0,221.0,1.0,14.0,75.0,131.0,2116.0,227.0,1374.0,515.0,8.0
38,CALIFORNIA,CORONA,2015.0,163633.0,93.0,0.0,9.0,42.0,42.0,1794.0,275.0,1310.0,209.0,5.0
