,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
0,ALABAMA,BIRMINGHAM,2017,212178,1833,42,92,473,1226,6472,1293,4360,819,113
1,ALABAMA,MOBILE4,2017,248431,937,22,57,236,622,6493,1509,4399,585,35
2,ALABAMA,MONTGOMERY,2017,199099,656,19,35,185,417,4246,1031,2797,418,0
3,ALABAMA,MONTGOMERY,2017,101124,212,2,18,69,123,1953,390,1475,88,0
4,ALASKA,ANCHORAGE,2017,296188,1798,13,287,369,1129,7708,1089,5180,1439,31
5,ARIZONA,CHANDLER,2017,249355,303,1,67,72,163,2906,401,2298,207,10
6,ARIZONA,GILBERT,2017,242090,99,1,27,17,54,1589,213,1313,63,5
7,ARIZONA,GLENDALE,2017,249273,598,7,36,247,308,5654,848,4198,608,18
8,ARIZONA,MESA,2017,492268,1000,11,127,221,641,5472,962,4069,441,9
9,ARIZONA,PEORIA,2017,165889,202,3,34,33,132,1786,275,1394,117,2
10,ARIZONA,SCOTTSDALE,2017,251840,193,2,47,55,89,2684,437,2115,132,9
11,ARIZONA,SURPRISE,2017,135345,57,1,5,21,30,1300,124,1100,76,2
12,ARIZONA,TEMPE,2017,186086,463,3,74,120,266,3812,502,3083,227,12
13,ARIZONA,TUCSON,2017,532323,2155,21,263,694,1177,13381,2053,10200,1128,84
14,ARKANSAS,LITTLE ROCK,2017,199314,1759,25,102,258,1374,6985,1260,5116,609,28
15,CALIFORNIA,ANAHEIM,2017,353400,601,6,63,218,314,4629,652,3190,787,16
16,CALIFORNIA,ANTIOCH,2017,112252,306,4,22,127,153,1873,301,1037,535,30
17,CALIFORNIA,BAKERSFIELD,2017,381154,929,22,48,365,494,7570,1643,4621,1306,127
18,CALIFORNIA,BERKELEY,2017,122687,322,1,38,181,102,2827,386,2148,293,6
19,CALIFORNIA,BURBANK,2017,104622,113,0,7,40,66,1483,158,1187,138,11
20,CALIFORNIA,CARLSBAD,2017,115344,106,0,16,17,73,1014,204,745,65,7
21,CALIFORNIA,CHULA VISTA,2017,271109,376,0,30,138,208,1907,313,1244,350,13
22,CALIFORNIA,CLOVIS,2017,108419,144,0,23,36,85,1516,245,1177,94,3
23,CALIFORNIA,CONCORD,2017,129789,229,3,28,85,113,2130,203,1499,428,14
24,CALIFORNIA,CORONA,2017,169164,108,0,23,43,42,1807,308,1213,286,9
25,CALIFORNIA,COSTA MESA,2017,113267,166,1,27,69,69,2330,344,1688,298,5
26,CALIFORNIA,DALY CITY,2017,107355,144,0,30,58,56,829,104,629,96,4
27,CALIFORNIA,DOWNEY,2017,113511,198,1,11,89,97,1671,292,976,403,2
28,CALIFORNIA,EL CAJON,2017,104447,189,0,24,62,103,1207,231,757,219,6
29,CALIFORNIA,ELK GROVE,2017,172620,273,0,18,47,208,1179,208,862,109,0
30,CALIFORNIA,EL MONTE,2017,116168,239,4,23,95,117,1396,361,677,358,4
31,CALIFORNIA,ESCONDIDO,2017,152845,252,3,21,68,160,1269,215,877,177,9
32,CALIFORNIA,FAIRFIELD,2017,116372,283,5,18,99,161,1433,230,975,228,11
33,CALIFORNIA,FONTANA,2017,211782,321,4,33,81,203,1840,295,1089,456,6
34,CALIFORNIA,FREMONT,2017,236368,202,0,30,88,84,2722,350,1870,502,8
35,CALIFORNIA,FRESNO,2017,526371,1511,33,90,502,886,10256,1860,6908,1488,112
36,CALIFORNIA,FULLERTON,2017,141637,133,0,31,41,61,1984,154,1620,210,20
37,CALIFORNIA,GARDEN GROVE,2017,175466,304,2,6,112,184,2209,427,1458,324,11
38,CALIFORNIA,GLENDALE,2017,202381,155,1,13,72,69,1553,246,1150,157,5
39,CALIFORNIA,HAYWARD,2017,161417,260,2,34,125,99,2523,247,1355,921,13
40,CALIFORNIA,HUNTINGTON BEACH,2017,202244,205,0,22,33,150,2133,335,1565,233,9
41,CALIFORNIA,INGLEWOOD,2017,110811,418,4,22,206,186,1366,242,685,439,10
42,CALIFORNIA,IRVINE,2017,276115,87,2,24,28,33,1797,324,1374,99,4
43,CALIFORNIA,JURUPA VALLEY,2017,104922,138,3,10,36,89,1352,155,858,339,3
44,CALIFORNIA,LANCASTER,2017,160653,527,7,29,143,348,1561,438,794,329,17
45,CALIFORNIA,LONG BEACH,2017,471397,1551,11,93,618,829,6280,1442,3416,1422,59
46,CALIFORNIA,LOS ANGELES,2017,4007147,14647,142,1229,5163,8113,50108,8233,32231,9644,651
47,CALIFORNIA,MODESTO,2017,213677,1009,13,54,253,689,4279,664,2897,718,36
48,CALIFORNIA,MORENO VALLEY,2017,207418,372,6,15,166,185,3303,580,2132,591,8
49,CALIFORNIA,MURRIETA,2017,113016,39,1,10,15,13,837,140,608,89,4
50,CALIFORNIA,NORWALK,2017,106278,202,2,9,65,126,990,221,532,237,5
51,CALIFORNIA,OAKLAND,2017,424915,2790,32,185,1367,1206,13028,1431,8587,3010,70
52,CALIFORNIA,OCEANSIDE,2017,176815,335,4,36,82,213,2100,317,1568,215,16
53,CALIFORNIA,ONTARIO,2017,174724,309,3,59,96,151,2218,344,1431,443,10
54,CALIFORNIA,ORANGE,2017,141130,123,1,6,37,79,1292,216,873,203,9
55,CALIFORNIA,OXNARD,2017,209513,464,10,34,223,197,2695,412,1897,386,24
56,CALIFORNIA,PALMDALE,2017,158094,342,2,22,126,192,1278,270,801,207,12
57,CALIFORNIA,PASADENA,2017,142891,285,5,19,120,141,1558,392,960,206,22
58,CALIFORNIA,POMONA,2017,153066,423,10,48,181,184,2222,349,1299,574,13
59,CALIFORNIA,RANCHO CUCAMONGA,2017,178308,147,0,24,49,74,2120,436,1504,180,1
60,CALIFORNIA,RIALTO5,2017,103980,188,2,9,75,102,842,229,314,299,2
61,CALIFORNIA,RICHMOND,2017,110804,516,7,25,218,266,2134,402,1105,627,23
62,CALIFORNIA,RIVERSIDE,2017,328023,792,6,78,253,455,5269,926,3431,912,38
63,CALIFORNIA,ROSEVILLE,2017,135028,109,0,11,40,58,1706,180,1369,157,8
64,CALIFORNIA,SACRAMENTO,2017,499997,1678,21,53,541,1063,7312,1495,4519,1298,98
65,CALIFORNIA,SALINAS,2017,158313,508,18,39,172,279,2347,439,1187,721,9
66,CALIFORNIA,SAN BERNARDINO,2017,217259,1410,20,83,400,907,4053,1040,1897,1116,32
67,CALIFORNIA,SAN DIEGO,2017,1424116,2515,17,265,694,1539,13173,2032,8552,2589,81
68,CALIFORNIA,SAN FRANCISCO,2017,881255,3069,34,187,1599,1249,27654,2568,22449,2637,151
69,CALIFORNIA,SAN JOSE,2017,1037529,1916,15,299,604,998,12528,1973,6463,4092,84
70,CALIFORNIA,SAN MATEO,2017,105090,122,0,9,26,87,1004,299,614,91,2
71,CALIFORNIA,SANTA ANA,2017,335699,787,10,85,304,388,3769,459,2176,1134,33
72,CALIFORNIA,SANTA CLARA,2017,127538,88,0,17,22,49,1538,161,1181,196,4
73,CALIFORNIA,SANTA CLARITA,2017,216350,173,2,19,59,93,1637,343,1080,214,6
74,CALIFORNIA,SANTA MARIA,2017,107424,224,0,25,72,127,1218,218,629,371,4
75,CALIFORNIA,SANTA ROSA,2017,176361,375,4,58,60,253,1567,253,1119,195,8
76,CALIFORNIA,SIMI VALLEY,2017,126635,81,0,9,16,56,917,161,678,78,2
77,CALIFORNIA,STOCKTON,2017,309566,2120,19,69,578,1454,5765,1146,3548,1071,70
78,CALIFORNIA,SUNNYVALE,2017,154919,80,1,13,27,39,1251,247,865,139,8
79,CALIFORNIA,TEMECULA,2017,115220,56,0,2,18,36,1436,204,1083,149,0
80,CALIFORNIA,THOUSAND OAKS,2017,129240,73,0,22,11,40,837,137,626,74,6
81,CALIFORNIA,TORRANCE,2017,147482,146,0,17,57,72,1546,302,999,245,8
82,CALIFORNIA,VALLEJO,2017,122174,541,10,46,187,298,2369,1256,603,510,20
83,CALIFORNIA,VENTURA,2017,110006,231,1,31,56,143,1822,297,1332,193,10
84,CALIFORNIA,VICTORVILLE,2017,123284,417,8,29,128,252,1700,402,968,330,27
85,CALIFORNIA,VISALIA,2017,132143,245,6,36,79,124,2129,470,1342,317,8
86,CALIFORNIA,VISTA,2017,103004,189,4,22,54,109,746,159,460,127,7
87,CALIFORNIA,WEST COVINA,2017,108128,150,0,20,75,55,1266,259,811,196,6
88,COLORADO,AURORA,2017,368018,1073,17,149,350,557,5380,811,3608,961,31
89,COLORADO,CENTENNIAL,2017,111416,66,3,13,9,41,916,151,680,85,6
90,COLORADO,COLORADO SPRINGS,2017,472958,1274,16,264,231,763,7185,1149,5097,939,61
91,COLORADO,DENVER,2017,706616,2318,29,341,557,1391,12255,2081,7786,2388,66
92,COLORADO,FORT COLLINS,2017,167633,188,1,23,17,147,2149,241,1800,108,6
93,COLORADO,GREELEY,2017,105906,192,1,28,23,140,1260,194,926,140,13
94,COLORADO,PUEBLO,2017,110872,555,3,108,97,347,3308,614,2156,538,24
95,COLORADO,THORNTON3,2017,139825,219,2,71,33,113,0,0,1405,382,16
96,COLORADO,WESTMINSTER,2017,115155,133,1,28,27,77,1765,203,1203,359,9
97,CONNECTICUT,BRIDGEPORT,2017,146110,600,12,27,264,297,1662,287,1022,353,8
98,CONNECTICUT,HARTFORD,2017,122891,611,14,27,190,380,2296,341,1638,317,38
99,CONNECTICUT,STAMFORD,2017,130189,136,0,13,42,81,965,106,752,107,3
100,CONNECTICUT,WATERBURY,2017,107924,249,3,26,124,96,1883,284,1203,396,6
101,FLORIDA,CAPE CORAL,2017,184346,118,3,8,12,95,1488,290,1126,72,1
102,FLORIDA,CLEARWATER,2017,115295,293,2,42,71,178,1848,249,1476,123,11
103,FLORIDA,CORAL SPRINGS,2017,131558,125,0,27,35,63,1287,112,1064,111,2
104,FLORIDA,DAVIE,2017,103555,124,1,13,44,66,1347,145,1094,108,9
105,FLORIDA,FORT LAUDERDALE,2017,180972,523,4,37,214,268,5246,821,3978,447,8
106,FLORIDA,GAINESVILLE,2017,132777,472,2,81,94,295,2225,229,1854,142,3
107,FLORIDA,HIALEAH,2017,238260,232,2,15,77,138,2673,283,2042,348,16
108,FLORIDA,HOLLYWOOD,2017,153893,216,3,13,90,110,2391,393,1754,244,4
109,FLORIDA,JACKSONVILLE,2017,894638,2696,52,257,670,1717,15489,2832,11251,1406,52
