,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
1,ALABAMA,BIRMINGHAM,2018,212178,1978,47,86,398,1447,6280,1152,4233,895,76
3,ALABAMA,MOBILE5,2018,248431,820,15,73,185,547,6027,1235,4183,609,24
5,ALABAMA,MONTGOMERY,2018,199099,559,12,22,152,373,4098,995,2672,431,0
7,ALABAMA,MONTGOMERY,2018,101124,253,3,20,71,159,2092,414,1569,109,0
9,ALASKA,ANCHORAGE,2018,296188,1777,10,219,372,1176,7655,1101,4832,1722,23
11,ARIZONA,CHANDLER,2018,249355,287,1,74,62,150,2771,369,2241,161,8
13,ARIZONA,GILBERT,2018,242090,131,1,48,15,67,1695,213,1400,82,5
15,ARIZONA,GLENDALE,2018,249273,594,7,69,171,347,4830,756,3581,493,34
17,ARIZONA,MESA,2018,492268,967,10,143,192,622,5113,751,3901,461,7
19,ARIZONA,PEORIA,2018,165889,201,2,33,29,137,1596,281,1224,91,4
21,ARIZONA,SCOTTSDALE,2018,251840,211,7,53,52,99,2853,350,2362,141,7
23,ARIZONA,SURPRISE,2018,135345,67,3,10,20,34,1088,138,860,90,3
25,ARIZONA,TEMPE,2018,186086,448,3,75,97,273,3567,456,2841,270,3
27,ARIZONA,TUCSON,2018,532323,2027,26,255,670,1076,13925,1690,10959,1276,92
29,ARKANSAS,LITTLE ROCK,2018,199314,1326,20,120,149,1037,6145,1060,4576,509,24
31,CALIFORNIA,ANAHEIM,2018,353400,578,2,70,195,311,4399,733,2969,697,13
33,CALIFORNIA,ANTIOCH,2018,112252,283,1,24,102,156,1479,278,910,291,26
35,CALIFORNIA,BAKERSFIELD,2018,381154,911,18,60,402,431,8330,1997,4875,1458,116
37,CALIFORNIA,BERKELEY,2018,122687,289,1,33,170,85,2543,412,1858,273,21
39,CALIFORNIA,BURBANK,2018,104622,129,0,7,48,74,1362,141,1115,106,7
41,CALIFORNIA,CARLSBAD,2018,115344,115,1,19,23,72,1081,169,830,82,5
43,CALIFORNIA,CHULA VISTA,2018,271109,406,4,43,114,245,1905,307,1244,354,9
45,CALIFORNIA,CLOVIS,2018,108419,106,1,23,15,67,1271,160,1024,87,2
47,CALIFORNIA,CONCORD,2018,129789,246,1,27,103,115,2151,261,1611,279,12
49,CALIFORNIA,CORONA,2018,169164,127,4,27,49,47,1535,191,1082,262,10
51,CALIFORNIA,COSTA MESA,2018,113267,170,2,34,60,74,1860,260,1439,161,12
53,CALIFORNIA,DALY CITY,2018,107355,113,2,18,45,48,719,119,517,83,3
55,CALIFORNIA,DOWNEY,2018,113511,174,3,7,83,81,1352,243,784,325,8
57,CALIFORNIA,EL CAJON,2018,104447,246,2,20,86,138,1164,166,827,171,9
59,CALIFORNIA,ELK GROVE,2018,172620,261,0,15,40,206,1113,146,878,89,6
61,CALIFORNIA,EL MONTE,2018,116168,181,2,12,78,89,1216,257,677,282,10
63,CALIFORNIA,ESCONDIDO,2018,152845,237,1,28,71,137,1370,187,933,250,5
65,CALIFORNIA,FAIRFIELD,2018,116372,335,2,53,89,191,1639,211,1121,307,11
67,CALIFORNIA,FONTANA,2018,211782,331,5,27,94,205,1683,289,928,466,5
69,CALIFORNIA,FREMONT,2018,236368,272,1,32,115,124,2372,402,1608,362,6
71,CALIFORNIA,FRESNO,2018,526371,1489,18,93,473,905,8628,1411,6126,1091,129
73,CALIFORNIA,FULLERTON,2018,141637,174,0,27,66,81,1878,176,1460,242,8
