,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
0,ALABAMA,BIRMINGHAM,2017,212178,1833,42,92,473,1226,6472,1293,4360,819,113
1,ALABAMA,BIRMINGHAM,2018,212178,1978,47,86,398,1447,6280,1152,4233,895,76
2,ALABAMA,MOBILE4,2017,248431,937,22,57,236,622,6493,1509,4399,585,35
3,ALABAMA,MOBILE5,2018,248431,820,15,73,185,547,6027,1235,4183,609,24
4,ALABAMA,MONTGOMERY,2017,199099,656,19,35,185,417,4246,1031,2797,418,0
5,ALABAMA,MONTGOMERY,2018,199099,559,12,22,152,373,4098,995,2672,431,0
6,ALABAMA,MONTGOMERY,2017,101124,212,2,18,69,123,1953,390,1475,88,0
7,ALABAMA,MONTGOMERY,2018,101124,253,3,20,71,159,2092,414,1569,109,0
8,ALASKA,ANCHORAGE,2017,296188,1798,13,287,369,1129,7708,1089,5180,1439,31
9,ALASKA,ANCHORAGE,2018,296188,1777,10,219,372,1176,7655,1101,4832,1722,23
10,ARIZONA,CHANDLER,2017,249355,303,1,67,72,163,2906,401,2298,207,10
11,ARIZONA,CHANDLER,2018,249355,287,1,74,62,150,2771,369,2241,161,8
12,ARIZONA,GILBERT,2017,242090,99,1,27,17,54,1589,213,1313,63,5
13,ARIZONA,GILBERT,2018,242090,131,1,48,15,67,1695,213,1400,82,5
14,ARIZONA,GLENDALE,2017,249273,598,7,36,247,308,5654,848,4198,608,18
15,ARIZONA,GLENDALE,2018,249273,594,7,69,171,347,4830,756,3581,493,34
16,ARIZONA,MESA,2017,492268,1000,11,127,221,641,5472,962,4069,441,9
17,ARIZONA,MESA,2018,492268,967,10,143,192,622,5113,751,3901,461,7
18,ARIZONA,PEORIA,2017,165889,202,3,34,33,132,1786,275,1394,117,2
19,ARIZONA,PEORIA,2018,165889,201,2,33,29,137,1596,281,1224,91,4
20,ARIZONA,SCOTTSDALE,2017,251840,193,2,47,55,89,2684,437,2115,132,9
21,ARIZONA,SCOTTSDALE,2018,251840,211,7,53,52,99,2853,350,2362,141,7
22,ARIZONA,SURPRISE,2017,135345,57,1,5,21,30,1300,124,1100,76,2
23,ARIZONA,SURPRISE,2018,135345,67,3,10,20,34,1088,138,860,90,3
24,ARIZONA,TEMPE,2017,186086,463,3,74,120,266,3812,502,3083,227,12
25,ARIZONA,TEMPE,2018,186086,448,3,75,97,273,3567,456,2841,270,3
26,ARIZONA,TUCSON,2017,532323,2155,21,263,694,1177,13381,2053,10200,1128,84
27,ARIZONA,TUCSON,2018,532323,2027,26,255,670,1076,13925,1690,10959,1276,92
28,ARKANSAS,LITTLE ROCK,2017,199314,1759,25,102,258,1374,6985,1260,5116,609,28
29,ARKANSAS,LITTLE ROCK,2018,199314,1326,20,120,149,1037,6145,1060,4576,509,24
30,CALIFORNIA,ANAHEIM,2017,353400,601,6,63,218,314,4629,652,3190,787,16
31,CALIFORNIA,ANAHEIM,2018,353400,578,2,70,195,311,4399,733,2969,697,13
32,CALIFORNIA,ANTIOCH,2017,112252,306,4,22,127,153,1873,301,1037,535,30
33,CALIFORNIA,ANTIOCH,2018,112252,283,1,24,102,156,1479,278,910,291,26
34,CALIFORNIA,BAKERSFIELD,2017,381154,929,22,48,365,494,7570,1643,4621,1306,127
35,CALIFORNIA,BAKERSFIELD,2018,381154,911,18,60,402,431,8330,1997,4875,1458,116
36,CALIFORNIA,BERKELEY,2017,122687,322,1,38,181,102,2827,386,2148,293,6
37,CALIFORNIA,BERKELEY,2018,122687,289,1,33,170,85,2543,412,1858,273,21
38,CALIFORNIA,BURBANK,2017,104622,113,0,7,40,66,1483,158,1187,138,11
39,CALIFORNIA,BURBANK,2018,104622,129,0,7,48,74,1362,141,1115,106,7
40,CALIFORNIA,CARLSBAD,2017,115344,106,0,16,17,73,1014,204,745,65,7
41,CALIFORNIA,CARLSBAD,2018,115344,115,1,19,23,72,1081,169,830,82,5
42,CALIFORNIA,CHULA VISTA,2017,271109,376,0,30,138,208,1907,313,1244,350,13
43,CALIFORNIA,CHULA VISTA,2018,271109,406,4,43,114,245,1905,307,1244,354,9
44,CALIFORNIA,CLOVIS,2017,108419,144,0,23,36,85,1516,245,1177,94,3
45,CALIFORNIA,CLOVIS,2018,108419,106,1,23,15,67,1271,160,1024,87,2
46,CALIFORNIA,CONCORD,2017,129789,229,3,28,85,113,2130,203,1499,428,14
47,CALIFORNIA,CONCORD,2018,129789,246,1,27,103,115,2151,261,1611,279,12
48,CALIFORNIA,CORONA,2017,169164,108,0,23,43,42,1807,308,1213,286,9
49,CALIFORNIA,CORONA,2018,169164,127,4,27,49,47,1535,191,1082,262,10
50,CALIFORNIA,COSTA MESA,2017,113267,166,1,27,69,69,2330,344,1688,298,5
51,CALIFORNIA,COSTA MESA,2018,113267,170,2,34,60,74,1860,260,1439,161,12
52,CALIFORNIA,DALY CITY,2017,107355,144,0,30,58,56,829,104,629,96,4
53,CALIFORNIA,DALY CITY,2018,107355,113,2,18,45,48,719,119,517,83,3
54,CALIFORNIA,DOWNEY,2017,113511,198,1,11,89,97,1671,292,976,403,2
55,CALIFORNIA,DOWNEY,2018,113511,174,3,7,83,81,1352,243,784,325,8
56,CALIFORNIA,EL CAJON,2017,104447,189,0,24,62,103,1207,231,757,219,6
57,CALIFORNIA,EL CAJON,2018,104447,246,2,20,86,138,1164,166,827,171,9
58,CALIFORNIA,ELK GROVE,2017,172620,273,0,18,47,208,1179,208,862,109,0
