,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
0,ALABAMA,HUNTSVILLE,2015,190106,723,5,65,173,480,4121,836,2903,382,0
1,ALASKA,ANCHORAGE,2015,301239,1615,16,323,271,1005,5732,811,4516,405,63
2,ARIZONA,CHANDLER,2015,258875,206,0,26,51,129,2524,384,2033,107,26
3,ARIZONA,GILBERT,2015,247324,95,2,14,14,65,1628,253,1310,65,12
4,ARIZONA,MESA,2015,471034,1019,6,142,219,652,5995,1041,4591,363,40
5,ARIZONA,PEORIA,2015,170222,145,1,16,25,103,1677,368,1207,102,5
6,ARIZONA,SCOTTSDALE,2015,233872,189,3,48,53,85,2580,398,2091,91,4
7,ARIZONA,TEMPE,2015,175556,348,2,47,83,216,3731,531,3043,157,30
8,ARIZONA,TUCSON,2015,529675,1706,16,213,516,961,16680,1784,13919,977,58
9,ARKANSAS,LITTLE ROCK,2015,198647,1310,14,79,306,911,6100,1169,4556,375,47
10,CALIFORNIA,ANAHEIM,2015,349471,628,10,65,211,342,5018,724,3472,822,20
11,CALIFORNIA,ANTIOCH,2015,110537,387,2,31,135,219,1931,496,895,540,18
12,CALIFORNIA,BAKERSFIELD,2015,373887,879,12,38,324,505,7748,1885,4661,1202,204
13,CALIFORNIA,BERKELEY,2015,120387,269,0,20,165,84,2909,587,1971,351,9
14,CALIFORNIA,BURBANK,2015,105865,69,0,5,25,39,1282,143,1047,92,4
15,CALIFORNIA,CARLSBAD,2015,113972,88,0,15,18,55,1028,188,782,58,5
16,CALIFORNIA,CHULA VISTA,2015,265215,318,2,30,121,165,2210,305,1511,394,17
17,CALIFORNIA,CLOVIS,2015,103769,114,1,13,27,73,1591,208,1271,112,1
18,CALIFORNIA,CONCORD,2015,128767,241,0,15,91,135,2367,338,1512,517,4
19,CALIFORNIA,CORONA,2015,163633,93,0,9,42,42,1794,275,1310,209,5
20,CALIFORNIA,COSTA MESA,2015,113477,188,1,26,67,94,2371,336,1802,233,8
21,CALIFORNIA,DALY CITY,2015,107320,132,0,8,49,75,965,180,646,139,2
22,CALIFORNIA,DOWNEY,2015,114754,150,2,11,84,53,1356,210,784,362,5
23,CALIFORNIA,EL CAJON,2015,103942,158,0,25,42,91,1118,179,766,173,8
