State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
ALABAMA,HUNTSVILLE,2015,"190,106",723,5,65,0,173,480,"4,121",836,"2,903",382,0
ALABAMA,HUNTSVILLE,2016,"190,106",876,10,80,0,213,573,"4,565",881,"3,279",405,0
ALASKA,ANCHORAGE,2015,"301,239","1,615",16,323,0,271,"1,005","5,732",811,"4,516",405,63
ALASKA,ANCHORAGE,2016,"301,239","1,692",9,302,0,326,"1,055","6,853","1,031","4,901",921,38
ARIZONA,CHANDLER,2015,"258,875",206,0,26,0,51,129,"2,524",384,"2,033",107,26
ARIZONA,CHANDLER,2016,"258,875",272,1,61,0,69,141,"2,987",453,"2,373",161,8
ARIZONA,GILBERT,2015,"247,324",95,2,14,0,14,65,"1,628",253,"1,310",65,12
ARIZONA,GILBERT,2016,"247,324",108,1,22,0,14,71,"1,694",297,"1,330",67,13
ARIZONA,MESA,2015,"471,034","1,019",6,142,0,219,652,"5,995","1,041","4,591",363,40
ARIZONA,MESA,2016,"471,034","1,069",12,146,0,210,701,"5,517","1,010","4,090",417,21
ARIZONA,PEORIA,2015,"170,222",145,1,16,0,25,103,"1,677",368,"1,207",102,5
ARIZONA,PEORIA,2016,"170,222",166,1,14,0,41,110,"1,865",298,"1,444",123,2
ARIZONA,SCOTTSDALE,2015,"233,872",189,3,48,0,53,85,"2,580",398,"2,091",91,4
ARIZONA,SCOTTSDALE,2016,"233,872",197,2,55,0,59,81,"2,904",356,"2,436",112,8
ARIZONA,TEMPE,2015,"175,556",348,2,47,0,83,216,"3,731",531,"3,043",157,30
ARIZONA,TEMPE,2016,"175,556",437,3,73,0,108,253,"4,050",599,"3,234",217,20
ARIZONA,TUCSON,2015,"529,675","1,706",16,213,0,516,961,"16,680","1,784","13,919",977,58
ARIZONA,TUCSON,2016,"529,675","1,988",11,221,0,537,"1,219","15,773","1,850","13,092",831,72
ARKANSAS,LITTLE ROCK,2015,"198,647","1,310",14,79,0,306,911,"6,100","1,169","4,556",375,47
ARKANSAS,LITTLE ROCK,2016,"198,647","1,415",16,79,0,302,"1,018","6,476","1,086","4,857",533,27
CALIFORNIA,ANAHEIM,2015,"349,471",628,10,65,0,211,342,"5,018",724,"3,472",822,20
CALIFORNIA,ANAHEIM,2016,"349,471",620,4,70,0,183,363,"5,151",759,"3,677",715,17
