,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
0,ALABAMA,HUNTSVILLE,2016,190106,876,10,80,213,573,4565,881,3279,405,0
1,ALASKA,ANCHORAGE,2016,301239,1692,9,302,326,1055,6853,1031,4901,921,38
2,ARIZONA,CHANDLER,2016,258875,272,1,61,69,141,2987,453,2373,161,8
3,ARIZONA,GILBERT,2016,247324,108,1,22,14,71,1694,297,1330,67,13
4,ARIZONA,MESA,2016,471034,1069,12,146,210,701,5517,1010,4090,417,21
5,ARIZONA,PEORIA,2016,170222,166,1,14,41,110,1865,298,1444,123,2
6,ARIZONA,SCOTTSDALE,2016,233872,197,2,55,59,81,2904,356,2436,112,8
7,ARIZONA,TEMPE,2016,175556,437,3,73,108,253,4050,599,3234,217,20
8,ARIZONA,TUCSON,2016,529675,1988,11,221,537,1219,15773,1850,13092,831,72
9,ARKANSAS,LITTLE ROCK,2016,198647,1415,16,79,302,1018,6476,1086,4857,533,27
10,CALIFORNIA,ANAHEIM,2016,349471,620,4,70,183,363,5151,759,3677,715,17
11,CALIFORNIA,ANTIOCH,2016,110537,396,7,25,165,199,1756,367,883,506,27
12,CALIFORNIA,BAKERSFIELD,2016,373887,925,22,34,289,580,8264,1932,4898,1434,0
13,CALIFORNIA,BERKELEY,2016,120387,262,0,27,151,84,2637,437,1888,312,20
14,CALIFORNIA,BURBANK,2016,105865,104,0,11,23,70,1358,202,1038,118,8
15,CALIFORNIA,CARLSBAD,2016,113972,89,0,18,25,46,1137,192,863,82,4
16,CALIFORNIA,CHULA VISTA,2016,265215,362,0,33,97,232,2377,374,1554,449,17
17,CALIFORNIA,CLOVIS,2016,103769,131,2,18,35,76,1506,215,1178,113,3
18,CALIFORNIA,CONCORD,2016,128767,221,1,14,75,131,2116,227,1374,515,8
19,CALIFORNIA,CORONA,2016,163633,95,1,24,45,25,1866,384,1133,349,11
20,CALIFORNIA,COSTA MESA,2016,113477,199,0,27,72,100,2466,413,1751,302,19
21,CALIFORNIA,DALY CITY,2016,107320,131,0,11,47,73,783,129,567,87,5
22,CALIFORNIA,DOWNEY,2016,114754,189,1,5,93,90,1601,237,975,389,5
23,CALIFORNIA,EL CAJON,2016,103942,202,1,29,67,105,1273,210,836,227,6
24,CALIFORNIA,ELK GROVE,2016,166183,278,0,32,45,201,1269,210,934,125,1
25,CALIFORNIA,EL MONTE,2016,117376,226,0,17,92,117,1191,338,539,314,17
26,CALIFORNIA,ESCONDIDO,2016,151732,257,3,19,73,162,1665,221,1124,320,7
27,CALIFORNIA,FAIRFIELD,2016,112582,275,2,29,78,166,1389,217,907,265,8
28,CALIFORNIA,FONTANA,2016,206982,447,5,40,113,289,2224,341,1318,565,7
29,CALIFORNIA,FREMONT,2016,232427,204,0,33,97,74,2239,454,1455,330,6
30,CALIFORNIA,FRESNO,2016,520837,1613,18,81,552,962,10334,1726,6762,1846,126
31,CALIFORNIA,GARDEN GROVE,2016,176041,252,1,17,80,154,2187,448,1387,352,4
32,CALIFORNIA,GLENDALE,2016,202298,114,1,17,45,51,1795,313,1309,173,4
33,CALIFORNIA,HAYWARD,2016,157157,298,3,34,174,87,2266,364,1227,675,6
34,CALIFORNIA,HUNTINGTON BEACH,2016,203233,170,0,24,32,114,2167,317,1644,206,7
35,CALIFORNIA,INGLEWOOD,2016,112450,402,9,27,205,161,1219,236,613,370,14
36,CALIFORNIA,IRVINE,2016,258198,74,1,21,27,25,1977,313,1582,82,4
37,CALIFORNIA,LANCASTER,2016,162095,550,3,40,173,334,1761,517,931,313,35
38,CALIFORNIA,LONG BEACH,2016,476318,1405,15,109,540,741,6900,1527,4009,1364,47
39,CALIFORNIA,LOS ANGELES,2016,3962726,13724,136,1127,4930,7531,48427,7795,31619,9013,639
40,CALIFORNIA,MODESTO,2016,210794,1034,4,45,240,745,5010,763,3412,835,31
41,CALIFORNIA,MORENO VALLEY,2016,205182,469,5,4,180,280,3052,433,2062,557,6
42,CALIFORNIA,MURRIETA,2016,109495,53,1,13,8,31,812,131,575,106,5
43,CALIFORNIA,NORWALK,2016,107470,203,3,17,66,117,942,186,541,215,9
44,CALIFORNIA,OAKLAND,2016,419481,2952,28,128,1509,1287,11450,1440,6431,3579,91
45,CALIFORNIA,OCEANSIDE,2016,176319,307,1,27,76,203,2152,249,1659,244,7
46,CALIFORNIA,ONTARIO,2016,170274,298,6,15,102,175,2331,462,1383,486,15
47,CALIFORNIA,ORANGE,2016,140572,104,0,13,27,64,1282,227,871,184,6
48,CALIFORNIA,OXNARD,2016,207221,450,8,29,196,217,3291,509,2307,475,17
49,CALIFORNIA,PALMDALE,2016,159613,351,5,27,93,226,1264,289,779,196,17
50,CALIFORNIA,PASADENA,2016,141815,241,1,21,78,141,1722,413,1145,164,38
51,CALIFORNIA,POMONA,2016,154410,334,3,34,133,164,2316,414,1333,569,12
52,CALIFORNIA,RANCHO CUCAMONGA,2016,176376,119,0,18,39,62,2072,483,1355,234,3
53,CALIFORNIA,RIALTO,2016,103590,254,2,9,84,159,946,301,290,355,1
54,CALIFORNIA,RICHMOND,2016,109716,474,9,40,170,255,1805,361,809,635,18
55,CALIFORNIA,RIVERSIDE,2016,323064,832,3,70,289,470,5443,934,3589,920,27
56,CALIFORNIA,SACRAMENTO,2016,489717,1733,13,42,536,1142,7875,1621,4740,1514,87
57,CALIFORNIA,SALINAS,2016,158185,431,15,42,120,254,2738,340,1521,877,4
