,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
0,ALABAMA,HUNTSVILLE,2015,190106,723,5,65,173,480,4121,836,2903,382,0
1,ALABAMA,HUNTSVILLE,2016,190106,876,10,80,213,573,4565,881,3279,405,0
2,ALASKA,ANCHORAGE,2015,301239,1615,16,323,271,1005,5732,811,4516,405,63
3,ALASKA,ANCHORAGE,2016,301239,1692,9,302,326,1055,6853,1031,4901,921,38
4,ARIZONA,CHANDLER,2015,258875,206,0,26,51,129,2524,384,2033,107,26
5,ARIZONA,CHANDLER,2016,258875,272,1,61,69,141,2987,453,2373,161,8
6,ARIZONA,GILBERT,2015,247324,95,2,14,14,65,1628,253,1310,65,12
7,ARIZONA,GILBERT,2016,247324,108,1,22,14,71,1694,297,1330,67,13
8,ARIZONA,MESA,2015,471034,1019,6,142,219,652,5995,1041,4591,363,40
9,ARIZONA,MESA,2016,471034,1069,12,146,210,701,5517,1010,4090,417,21
10,ARIZONA,PEORIA,2015,170222,145,1,16,25,103,1677,368,1207,102,5
11,ARIZONA,PEORIA,2016,170222,166,1,14,41,110,1865,298,1444,123,2
12,ARIZONA,SCOTTSDALE,2015,233872,189,3,48,53,85,2580,398,2091,91,4
13,ARIZONA,SCOTTSDALE,2016,233872,197,2,55,59,81,2904,356,2436,112,8
14,ARIZONA,TEMPE,2015,175556,348,2,47,83,216,3731,531,3043,157,30
15,ARIZONA,TEMPE,2016,175556,437,3,73,108,253,4050,599,3234,217,20
16,ARIZONA,TUCSON,2015,529675,1706,16,213,516,961,16680,1784,13919,977,58
17,ARIZONA,TUCSON,2016,529675,1988,11,221,537,1219,15773,1850,13092,831,72
18,ARKANSAS,LITTLE ROCK,2015,198647,1310,14,79,306,911,6100,1169,4556,375,47
19,ARKANSAS,LITTLE ROCK,2016,198647,1415,16,79,302,1018,6476,1086,4857,533,27
20,CALIFORNIA,ANAHEIM,2015,349471,628,10,65,211,342,5018,724,3472,822,20
21,CALIFORNIA,ANAHEIM,2016,349471,620,4,70,183,363,5151,759,3677,715,17
22,CALIFORNIA,ANTIOCH,2015,110537,387,2,31,135,219,1931,496,895,540,18
23,CALIFORNIA,ANTIOCH,2016,110537,396,7,25,165,199,1756,367,883,506,27
24,CALIFORNIA,BAKERSFIELD,2015,373887,879,12,38,324,505,7748,1885,4661,1202,204
25,CALIFORNIA,BAKERSFIELD,2016,373887,925,22,34,289,580,8264,1932,4898,1434,0
26,CALIFORNIA,BERKELEY,2015,120387,269,0,20,165,84,2909,587,1971,351,9
27,CALIFORNIA,BERKELEY,2016,120387,262,0,27,151,84,2637,437,1888,312,20
28,CALIFORNIA,BURBANK,2015,105865,69,0,5,25,39,1282,143,1047,92,4
29,CALIFORNIA,BURBANK,2016,105865,104,0,11,23,70,1358,202,1038,118,8
30,CALIFORNIA,CARLSBAD,2015,113972,88,0,15,18,55,1028,188,782,58,5
31,CALIFORNIA,CARLSBAD,2016,113972,89,0,18,25,46,1137,192,863,82,4
32,CALIFORNIA,CHULA VISTA,2015,265215,318,2,30,121,165,2210,305,1511,394,17
33,CALIFORNIA,CHULA VISTA,2016,265215,362,0,33,97,232,2377,374,1554,449,17
34,CALIFORNIA,CLOVIS,2015,103769,114,1,13,27,73,1591,208,1271,112,1
35,CALIFORNIA,CLOVIS,2016,103769,131,2,18,35,76,1506,215,1178,113,3
36,CALIFORNIA,CONCORD,2015,128767,241,0,15,91,135,2367,338,1512,517,4
37,CALIFORNIA,CONCORD,2016,128767,221,1,14,75,131,2116,227,1374,515,8
38,CALIFORNIA,CORONA,2015,163633,93,0,9,42,42,1794,275,1310,209,5
39,CALIFORNIA,CORONA,2016,163633,95,1,24,45,25,1866,384,1133,349,11
40,CALIFORNIA,COSTA MESA,2015,113477,188,1,26,67,94,2371,336,1802,233,8
41,CALIFORNIA,COSTA MESA,2016,113477,199,0,27,72,100,2466,413,1751,302,19
42,CALIFORNIA,DALY CITY,2015,107320,132,0,8,49,75,965,180,646,139,2
43,CALIFORNIA,DALY CITY,2016,107320,131,0,11,47,73,783,129,567,87,5
44,CALIFORNIA,DOWNEY,2015,114754,150,2,11,84,53,1356,210,784,362,5
45,CALIFORNIA,DOWNEY,2016,114754,189,1,5,93,90,1601,237,975,389,5
46,CALIFORNIA,EL CAJON,2015,103942,158,0,25,42,91,1118,179,766,173,8
47,CALIFORNIA,EL CAJON,2016,103942,202,1,29,67,105,1273,210,836,227,6
48,CALIFORNIA,ELK GROVE,2015,166183,296,1,19,51,225,1546,319,1115,112,3
49,CALIFORNIA,ELK GROVE,2016,166183,278,0,32,45,201,1269,210,934,125,1
50,CALIFORNIA,EL MONTE,2015,117376,193,2,11,65,115,1059,224,525,310,12
51,CALIFORNIA,EL MONTE,2016,117376,226,0,17,92,117,1191,338,539,314,17
52,CALIFORNIA,ESCONDIDO,2015,151732,270,5,30,89,146,1636,218,1103,315,7
53,CALIFORNIA,ESCONDIDO,2016,151732,257,3,19,73,162,1665,221,1124,320,7
54,CALIFORNIA,FAIRFIELD,2015,112582,247,2,17,80,148,1739,247,1246,246,11
55,CALIFORNIA,FAIRFIELD,2016,112582,275,2,29,78,166,1389,217,907,265,8
56,CALIFORNIA,FONTANA,2015,206982,384,2,19,100,263,2157,375,1271,511,3
57,CALIFORNIA,FONTANA,2016,206982,447,5,40,113,289,2224,341,1318,565,7
58,CALIFORNIA,FREMONT,2015,232427,144,1,19,70,54,2172,438,1390,344,9
59,CALIFORNIA,FREMONT,2016,232427,204,0,33,97,74,2239,454,1455,330,6
60,CALIFORNIA,FRESNO,2015,520837,1347,25,81,479,762,10459,2196,6861,1402,140
61,CALIFORNIA,FRESNO,2016,520837,1613,18,81,552,962,10334,1726,6762,1846,126
62,CALIFORNIA,GARDEN GROVE,2015,176041,267,1,23,81,162,2198,380,1491,327,10
63,CALIFORNIA,GARDEN GROVE,2016,176041,252,1,17,80,154,2187,448,1387,352,4
64,CALIFORNIA,GLENDALE,2015,202298,95,3,8,37,47,1693,262,1259,172,5
65,CALIFORNIA,GLENDALE,2016,202298,114,1,17,45,51,1795,313,1309,173,4
66,CALIFORNIA,HAYWARD,2015,157157,294,4,33,164,93,2338,385,1259,694,17
67,CALIFORNIA,HAYWARD,2016,157157,298,3,34,174,87,2266,364,1227,675,6
68,CALIFORNIA,HUNTINGTON BEACH,2015,203233,178,0,21,52,105,2388,360,1838,190,14
69,CALIFORNIA,HUNTINGTON BEACH,2016,203233,170,0,24,32,114,2167,317,1644,206,7
70,CALIFORNIA,INGLEWOOD,2015,112450,347,2,17,160,168,1282,260,679,343,4
71,CALIFORNIA,INGLEWOOD,2016,112450,402,9,27,205,161,1219,236,613,370,14
72,CALIFORNIA,IRVINE,2015,258198,59,1,13,21,24,1950,248,1601,101,4
73,CALIFORNIA,IRVINE,2016,258198,74,1,21,27,25,1977,313,1582,82,4
74,CALIFORNIA,LANCASTER,2015,162095,481,6,42,146,287,1707,526,979,202,28
75,CALIFORNIA,LANCASTER,2016,162095,550,3,40,173,334,1761,517,931,313,35
76,CALIFORNIA,LONG BEACH,2015,476318,1312,13,94,465,740,6813,1470,4089,1254,28
77,CALIFORNIA,LONG BEACH,2016,476318,1405,15,109,540,741,6900,1527,4009,1364,47
78,CALIFORNIA,LOS ANGELES,2015,3962726,11740,129,1073,4230,6308,45090,8161,29586,7343,638
79,CALIFORNIA,LOS ANGELES,2016,3962726,13724,136,1127,4930,7531,48427,7795,31619,9013,639
80,CALIFORNIA,MODESTO,2015,210794,984,10,50,235,689,4857,722,3294,841,28
81,CALIFORNIA,MODESTO,2016,210794,1034,4,45,240,745,5010,763,3412,835,31
82,CALIFORNIA,MORENO VALLEY,2015,205182,282,2,16,125,139,3105,612,2025,468,5
83,CALIFORNIA,MORENO VALLEY,2016,205182,469,5,4,180,280,3052,433,2062,557,6
84,CALIFORNIA,MURRIETA,2015,109495,34,0,4,15,15,903,145,641,117,5
85,CALIFORNIA,MURRIETA,2016,109495,53,1,13,8,31,812,131,575,106,5
86,CALIFORNIA,NORWALK,2015,107470,194,2,12,69,111,942,169,553,220,1
87,CALIFORNIA,NORWALK,2016,107470,203,3,17,66,117,942,186,541,215,9
88,CALIFORNIA,OAKLAND,2015,419481,3171,43,129,1735,1264,13097,1757,8003,3337,103
89,CALIFORNIA,OAKLAND,2016,419481,2952,28,128,1509,1287,11450,1440,6431,3579,91
90,CALIFORNIA,OCEANSIDE,2015,176319,313,6,33,102,172,2156,264,1666,226,9
91,CALIFORNIA,OCEANSIDE,2016,176319,307,1,27,76,203,2152,249,1659,244,7
92,CALIFORNIA,ONTARIO,2015,170274,263,2,14,100,147,2545,444,1596,505,19
