State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
ALABAMA,BIRMINGHAM,2017,"212,178","1,833",42,92,473,"1,226","6,472","1,293","4,360",819,113
,,2018,,"1,978",47,86,398,"1,447","6,280","1,152","4,233",895,76
,MOBILE4,2017,"248,431",937,22,57,236,622,"6,493","1,509","4,399",585,35
,,2018,,820,15,73,185,547,"6,027","1,235","4,183",609,24
,MONTGOMERY,2017,"199,099",656,19,35,185,417,"4,246","1,031","2,797",418,
,,2018,,559,12,22,152,373,"4,098",995,"2,672",431,
,TUSCALOOSA,2017,"101,124",212,2,18,69,123,"1,953",390,"1,475",88,
,,2018,,253,3,20,71,159,"2,092",414,"1,569",109,
ALASKA,ANCHORAGE,2017,"296,188","1,798",13,287,369,"1,129","7,708","1,089","5,180","1,439",31
,,2018,,"1,777",10,219,372,"1,176","7,655","1,101","4,832","1,722",23
ARIZONA,CHANDLER,2017,"249,355",303,1,67,72,163,"2,906",401,"2,298",207,10
,,2018,,287,1,74,62,150,"2,771",369,"2,241",161,8
,GILBERT,2017,"242,090",99,1,27,17,54,"1,589",213,"1,313",63,5
,,2018,,131,1,48,15,67,"1,695",213,"1,400",82,5
,GLENDALE,2017,"249,273",598,7,36,247,308,"5,654",848,"4,198",608,18
,,2018,,594,7,69,171,347,"4,830",756,"3,581",493,34
,MESA,2017,"492,268","1,000",11,127,221,641,"5,472",962,"4,069",441,9
,,2018,,967,10,143,192,622,"5,113",751,"3,901",461,7
,PEORIA,2017,"165,889",202,3,34,33,132,"1,786",275,"1,394",117,2
,,2018,,201,2,33,29,137,"1,596",281,"1,224",91,4
,SCOTTSDALE,2017,"251,840",193,2,47,55,89,"2,684",437,"2,115",132,9
,,2018,,211,7,53,52,99,"2,853",350,"2,362",141,7
,SURPRISE,2017,"135,345",57,1,5,21,30,"1,300",124,"1,100",76,2
,,2018,,67,3,10,20,34,"1,088",138,860,90,3
,TEMPE,2017,"186,086",463,3,74,120,266,"3,812",502,"3,083",227,12
,,2018,,448,3,75,97,273,"3,567",456,"2,841",270,3
,TUCSON,2017,"532,323","2,155",21,263,694,"1,177","13,381","2,053","10,200","1,128",84
,,2018,,"2,027",26,255,670,"1,076","13,925","1,690","10,959","1,276",92
ARKANSAS,LITTLE ROCK,2017,"199,314","1,759",25,102,258,"1,374","6,985","1,260","5,116",609,28
,,2018,,"1,326",20,120,149,"1,037","6,145","1,060","4,576",509,24
CALIFORNIA,ANAHEIM,2017,"353,400",601,6,63,218,314,"4,629",652,"3,190",787,16
,,2018,,578,2,70,195,311,"4,399",733,"2,969",697,13
,ANTIOCH,2017,"112,252",306,4,22,127,153,"1,873",301,"1,037",535,30
,,2018,,283,1,24,102,156,"1,479",278,910,291,26
,BAKERSFIELD,2017,"381,154",929,22,48,365,494,"7,570","1,643","4,621","1,306",127
,,2018,,911,18,60,402,431,"8,330","1,997","4,875","1,458",116
,BERKELEY,2017,"122,687",322,1,38,181,102,"2,827",386,"2,148",293,6
,,2018,,289,1,33,170,85,"2,543",412,"1,858",273,21
,BURBANK,2017,"104,622",113,0,7,40,66,"1,483",158,"1,187",138,11
,,2018,,129,0,7,48,74,"1,362",141,"1,115",106,7
,CARLSBAD,2017,"115,344",106,0,16,17,73,"1,014",204,745,65,7
,,2018,,115,1,19,23,72,"1,081",169,830,82,5
,CHULA VISTA,2017,"271,109",376,0,30,138,208,"1,907",313,"1,244",350,13
,,2018,,406,4,43,114,245,"1,905",307,"1,244",354,9
,CLOVIS,2017,"108,419",144,0,23,36,85,"1,516",245,"1,177",94,3
,,2018,,106,1,23,15,67,"1,271",160,"1,024",87,2
,CONCORD,2017,"129,789",229,3,28,85,113,"2,130",203,"1,499",428,14
,,2018,,246,1,27,103,115,"2,151",261,"1,611",279,12
,CORONA,2017,"169,164",108,0,23,43,42,"1,807",308,"1,213",286,9
,,2018,,127,4,27,49,47,"1,535",191,"1,082",262,10
,COSTA MESA,2017,"113,267",166,1,27,69,69,"2,330",344,"1,688",298,5
,,2018,,170,2,34,60,74,"1,860",260,"1,439",161,12
,DALY CITY,2017,"107,355",144,0,30,58,56,829,104,629,96,4
,,2018,,113,2,18,45,48,719,119,517,83,3
,DOWNEY,2017,"113,511",198,1,11,89,97,"1,671",292,976,403,2
,,2018,,174,3,7,83,81,"1,352",243,784,325,8
,EL CAJON,2017,"104,447",189,0,24,62,103,"1,207",231,757,219,6
,,2018,,246,2,20,86,138,"1,164",166,827,171,9
,ELK GROVE,2017,"172,620",273,0,18,47,208,"1,179",208,862,109,0
,,2018,,261,0,15,40,206,"1,113",146,878,89,6
,EL MONTE,2017,"116,168",239,4,23,95,117,"1,396",361,677,358,4
,,2018,,181,2,12,78,89,"1,216",257,677,282,10
,ESCONDIDO,2017,"152,845",252,3,21,68,160,"1,269",215,877,177,9
,,2018,,237,1,28,71,137,"1,370",187,933,250,5
,FAIRFIELD,2017,"116,372",283,5,18,99,161,"1,433",230,975,228,11
,,2018,,335,2,53,89,191,"1,639",211,"1,121",307,11
,FONTANA,2017,"211,782",321,4,33,81,203,"1,840",295,"1,089",456,6
,,2018,,331,5,27,94,205,"1,683",289,928,466,5
,FREMONT,2017,"236,368",202,0,30,88,84,"2,722",350,"1,870",502,8
,,2018,,272,1,32,115,124,"2,372",402,"1,608",362,6
,FRESNO,2017,"526,371","1,511",33,90,502,886,"10,256","1,860","6,908","1,488",112
,,2018,,"1,489",18,93,473,905,"8,628","1,411","6,126","1,091",129
,FULLERTON,2017,"141,637",133,0,31,41,61,"1,984",154,"1,620",210,20
,,2018,,174,0,27,66,81,"1,878",176,"1,460",242,8
,GARDEN GROVE,2017,"175,466",304,2,6,112,184,"2,209",427,"1,458",324,11
,,2018,,266,2,28,90,146,"2,096",329,"1,438",329,6
,GLENDALE,2017,"202,381",155,1,13,72,69,"1,553",246,"1,150",157,5
,,2018,,83,0,16,24,43,"1,491",188,"1,156",147,5
,HAYWARD,2017,"161,417",260,2,34,125,99,"2,523",247,"1,355",921,13
,,2018,,330,0,55,170,105,"2,434",262,"1,468",704,9
,HUNTINGTON BEACH,2017,"202,244",205,0,22,33,150,"2,133",335,"1,565",233,9
,,2018,,218,0,41,59,118,"1,871",227,"1,485",159,9
